ENZYME,ENZY_ACC_ID,GENE,KIN_ORGANISM,SUBSTRATE,SUB_GENE_ID,SUB_ACC_ID,SUB_GENE,SUB_ORGANISM,SUB_MOD_RSD,SITE_GRP_ID,SITE_...7_AA,networkin_score,Source
R144A,Q925F3,Rnf144a,mouse,PD1L1,,Q9EP73,Cd274,mouse,,,,,
R144A,Q925F3,Rnf144a,mouse,LN28B,,Q45KJ6,Lin28b,mouse,,,,,
R144B,Q8BKD6,Rnf144b,mouse,TYW4,,Q8BYR1,Lcmt2,mouse,,,,,
RN152,Q8BG47,Rnf152,mouse,RHEB,,Q921J2,Rheb,mouse,,,,,
RN170,Q8CBG9,Rnf170,mouse,TLR3,,Q99MB1,Tlr3,mouse,,,,,
RN180,Q3U827,Rnf180,mouse,ZIC2,,Q62520,Zic2,mouse,,,,,
RN182,Q8C432,Rnf182,mouse,VATL,,P63082,Atp6v0c,mouse,,,,,
RN183,Q8QZS5,Rnf183,mouse,TR10B,,Q9QZM4,Tnfrsf10b,mouse,,,,,
RN186,Q9D241,Rnf186,mouse,EPHB2,,P54763,Ephb2,mouse,,,,,
RN19A,P50636,Rnf19a,mouse,CASR,,Q9QY96,Casr,mouse,,,,,
RN19A,P50636,Rnf19a,mouse,SODC,,P08228,Sod1,mouse,,,,,
RN19B,A2A7Q9,Rnf19b,mouse,UCKL1,,Q91YL3,Uckl1,mouse,,,,,
RING2,Q9CQJ4,Rnf2,mouse,H2AB1,,Q9CQ70,H2ab1,mouse,,,,,
RING2,Q9CQJ4,Rnf2,mouse,RING2,,Q9CQJ4,Rnf2,mouse,,,,,
RING2,Q9CQJ4,Rnf2,mouse,RYBP,,Q8CCI5,Rybp,mouse,,,,,
BRE1A,Q5DTM8,Rnf20,mouse,H2B1A,,P70696,H2bc1,mouse,,,,,
RN216,P58283,Rnf216,mouse,RN216,,P58283,Rnf216,mouse,,,,,
RN216,P58283,Rnf216,mouse,KAPCB,,P68181,Prkacb,mouse,,,,,
RN220,Q6PDX6,Rnf220,mouse,TADBP,,Q921F2,Tardbp,mouse,,,,,
RN220,Q6PDX6,Rnf220,mouse,SIN3B,,Q62141,Sin3b,mouse,,,,,
RN220,Q6PDX6,Rnf220,mouse,A0A087WSP5,,A0A087WSP5,Stat1,mouse,,,,,
RN220,Q6PDX6,Rnf220,mouse,RN220,,Q6PDX6,Rnf220,mouse,,,,,
RNF31,Q924T7,Rnf31,mouse,A0A087WSP5,,A0A087WSP5,Stat1,mouse,,,,,
RNF31,Q924T7,Rnf31,mouse,TNAP3,,Q60769,Tnfaip3,mouse,,,,,
RNF34,Q99KR6,Rnf34,mouse,CY24A,,Q61462,Cyba,mouse,,,,,
RNF34,Q99KR6,Rnf34,mouse,PRGC1,,O70343,Ppargc1a,mouse,,,,,
RNF4,Q9QZS2,Rnf4,mouse,RNF4,,Q9QZS2,Rnf4,mouse,,,,,
RNF4,Q9QZS2,Rnf4,mouse,ETV4,,P28322,Etv4,mouse,,,,,
RNF4,Q9QZS2,Rnf4,mouse,PARP1,,P11103,Parp1,mouse,,,,,
BRE1B,Q3U319,Rnf40,mouse,H2B1A,,P70696,H2bc1,mouse,,,,,
RNF41,Q8BH75,Rnf41,mouse,ERBB3,,Q61526,Erbb3,mouse,,,,,
RNF41,Q8BH75,Rnf41,mouse,CLC9A,,Q8BRU4,Clec9a,mouse,,,,,
RNF41,Q8BH75,Rnf41,mouse,CEBPA,,P53566,Cebpa,mouse,,,,,
RNF41,Q8BH75,Rnf41,mouse,RNF41,,Q8BH75,Rnf41,mouse,,,,,
RNF43,Q5NCP0,Rnf43,mouse,RNF43,,Q5NCP0,Rnf43,mouse,,,,,
RNF5,O35445,Rnf5,mouse,S10A8,,P27005,S100a8,mouse,,,,,
RNF5,O35445,Rnf5,mouse,PAXI,,Q8VI36,Pxn,mouse,,,,,
RNF5,O35445,Rnf5,mouse,JKAMP,,Q8BI36,Jkamp,mouse,,,,,
RNF5,O35445,Rnf5,mouse,STING,,Q3TBT3,Sting1,mouse,,,,,
RNF5,O35445,Rnf5,mouse,SYVN1,,Q9DBY1,Syvn1,mouse,,,,,
RNF6,Q9DBU5,Rnf6,mouse,ANDR,,P19091,Ar,mouse,,,,,
RNF6,Q9DBU5,Rnf6,mouse,LIMK1,,P53668,Limk1,mouse,,,,,
RNF8,Q8VC56,Rnf8,mouse,AKT1,,P31750,Akt1,mouse,,,,,
RNF8,Q8VC56,Rnf8,mouse,H2AB1,,Q9CQ70,H2ab1,mouse,,,,,
RNF8,Q8VC56,Rnf8,mouse,H2B1F,,P10853,H2bc7,mouse,,,,,
SIA1A,P61092,Siah1a,mouse,EGLN1,,Q91YE3,Egln1,mouse,,,,,
SIA1A,P61092,Siah1a,mouse,MYB,,P06876,Myb,mouse,,,,,
SIA1A,P61092,Siah1a,mouse,CTNB1,,Q02248,Ctnnb1,mouse,,,,,
SIA1A,P61092,Siah1a,mouse,PML,,Q60953,Pml,mouse,,,,,
SIA1A,P61092,Siah1a,mouse,EGLN3,,Q91UZ4,Egln3,mouse,,,,,
SIA1A,P61092,Siah1a,mouse,PLCE1,,Q8K4S1,Plce1,mouse,,,,,
SIAH2,Q06986,Siah2,mouse,DYRK2,,Q5U4C9,Dyrk2,mouse,,,,,
